<All keys matched successfully>
patient101 mean DICE: 0.7843513169478769 | running DICE: 0.7843513169478769 | Percentage: 1.8658892128279884e-05 | running Per: 1.8658892128279884e-05 
patient101 inverse mean DICE: 0.8019045233122535 | running DICE: 0.8019045233122535 | Percentage: 1.8658892128279884e-05 | running Per: 1.8658892128279884e-05 
patient102 mean DICE: 0.5371033754506949 | running DICE: 0.6607273461992859 | Percentage: 5.597667638483965e-05 | running Per: 3.731778425655977e-05 
patient102 inverse mean DICE: 0.5951443090766233 | running DICE: 0.6985244161944384 | Percentage: 5.597667638483965e-05 | running Per: 3.731778425655977e-05 
patient103 mean DICE: 0.7220418227969251 | running DICE: 0.6811655050651656 | Percentage: 0.0 | running Per: 2.487852283770651e-05 
patient103 inverse mean DICE: 0.7534431619128679 | running DICE: 0.7168306647672482 | Percentage: 0.0 | running Per: 2.487852283770651e-05 
patient104 mean DICE: 0.32562811743871195 | running DICE: 0.5922811581585522 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient104 inverse mean DICE: 0.3948958804222011 | running DICE: 0.6363469686809864 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient105 mean DICE: 0.460713068408011 | running DICE: 0.565967540208444 | Percentage: 3.731778425655977e-05 | running Per: 2.239067055393586e-05 
patient105 inverse mean DICE: 0.4739864796462862 | running DICE: 0.6038748708740463 | Percentage: 3.731778425655977e-05 | running Per: 2.239067055393586e-05 
patient106 mean DICE: 0.9130996641981746 | running DICE: 0.6238228942067324 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient106 inverse mean DICE: 0.9156313284708132 | running DICE: 0.6558342804735074 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient107 mean DICE: 0.5365429331110335 | running DICE: 0.6113543283359182 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient107 inverse mean DICE: 0.5928275446892664 | running DICE: 0.6468333182186159 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient108 mean DICE: 0.4286308830599699 | running DICE: 0.5885138976764247 | Percentage: 9.329446064139942e-05 | running Per: 2.565597667638484e-05 
patient108 inverse mean DICE: 0.46763904080587654 | running DICE: 0.6244340335420235 | Percentage: 9.329446064139942e-05 | running Per: 2.565597667638484e-05 
patient109 mean DICE: 0.6543668808041614 | running DICE: 0.5958308958017288 | Percentage: 0.0 | running Per: 2.280531260123097e-05 
patient109 inverse mean DICE: 0.8040022653439866 | running DICE: 0.6443860592977972 | Percentage: 0.0 | running Per: 2.280531260123097e-05 
patient110 mean DICE: 0.5832287105426652 | running DICE: 0.5945706772758225 | Percentage: 0.0 | running Per: 2.052478134110787e-05 
patient110 inverse mean DICE: 0.6145598851373705 | running DICE: 0.6414034418817545 | Percentage: 0.0 | running Per: 2.052478134110787e-05 
patient111 mean DICE: 0.6143570960816186 | running DICE: 0.5963694426218039 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient111 inverse mean DICE: 0.6763911456697146 | running DICE: 0.6445841422261145 | Percentage: 0.0 | running Per: 1.8658892128279884e-05 
patient112 mean DICE: 0.6106804748797158 | running DICE: 0.5975620286432966 | Percentage: 1.8658892128279884e-05 | running Per: 1.8658892128279884e-05 
patient112 inverse mean DICE: 0.6568326921879086 | running DICE: 0.6456048547229306 | Percentage: 1.8658892128279884e-05 | running Per: 1.8658892128279884e-05 
patient113 mean DICE: 0.8348945243802802 | running DICE: 0.6158183744692184 | Percentage: 0.0 | running Per: 1.7223592733796816e-05 
patient113 inverse mean DICE: 0.8511883911660657 | running DICE: 0.6614189729108642 | Percentage: 0.0 | running Per: 1.7223592733796816e-05 
patient114 mean DICE: 0.5907235271116568 | running DICE: 0.6140258853722497 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient114 inverse mean DICE: 0.63102255911221 | running DICE: 0.6592478004966746 | Percentage: 0.0 | running Per: 1.5993336109954187e-05 
patient115 mean DICE: 0.6778482819571985 | running DICE: 0.6182807118112462 | Percentage: 0.0 | running Per: 1.4927113702623906e-05 
