<All keys matched successfully>
patient101 mean DICE: 0.8132858900254892 | running DICE: 0.8132858900254892 | Percentage: 0.0 | running Per: 0.0 
patient101 inverse mean DICE: 0.8351149415873022 | running DICE: 0.8351149415873022 | Percentage: 0.0 | running Per: 0.0 
patient102 mean DICE: 0.7499044160649518 | running DICE: 0.7815951530452205 | Percentage: 0.0 | running Per: 0.0 
patient102 inverse mean DICE: 0.8061578739090813 | running DICE: 0.8206364077481918 | Percentage: 0.0 | running Per: 0.0 
patient103 mean DICE: 0.8525881984620435 | running DICE: 0.8052595015174949 | Percentage: 0.0 | running Per: 0.0 
patient103 inverse mean DICE: 0.864497126307775 | running DICE: 0.8352566472680528 | Percentage: 0.0 | running Per: 0.0 
patient104 mean DICE: 0.5551638521898351 | running DICE: 0.7427355891855799 | Percentage: 0.0004478134110787172 | running Per: 0.0001119533527696793 
patient104 inverse mean DICE: 0.5934467484140343 | running DICE: 0.7748041725545483 | Percentage: 0.0004478134110787172 | running Per: 0.0001119533527696793 
patient105 mean DICE: 0.6864543253195959 | running DICE: 0.7314793364123832 | Percentage: 0.0 | running Per: 8.956268221574345e-05 
patient105 inverse mean DICE: 0.7500461290431136 | running DICE: 0.7698525638522613 | Percentage: 0.0 | running Per: 8.956268221574345e-05 
patient106 mean DICE: 0.9225896590388024 | running DICE: 0.7633310568501197 | Percentage: 0.0 | running Per: 7.463556851311954e-05 
patient106 inverse mean DICE: 0.926605893092085 | running DICE: 0.7959781187255652 | Percentage: 0.0 | running Per: 7.463556851311954e-05 
patient107 mean DICE: 0.7284280728733522 | running DICE: 0.7583449162820101 | Percentage: 0.0001119533527696793 | running Per: 7.996668054977093e-05 
patient107 inverse mean DICE: 0.7857942066098401 | running DICE: 0.7945232741376046 | Percentage: 0.0001119533527696793 | running Per: 7.996668054977093e-05 
patient108 mean DICE: 0.5788763343248472 | running DICE: 0.7359113435373648 | Percentage: 3.731778425655977e-05 | running Per: 7.463556851311954e-05 
patient108 inverse mean DICE: 0.6784961819322208 | running DICE: 0.7800198876119315 | Percentage: 3.731778425655977e-05 | running Per: 7.463556851311954e-05 
patient109 mean DICE: 0.767256716240162 | running DICE: 0.7393941627265644 | Percentage: 0.0 | running Per: 6.634272756721737e-05 
patient109 inverse mean DICE: 0.8086985534698464 | running DICE: 0.7832064060405888 | Percentage: 0.0 | running Per: 6.634272756721737e-05 
