<All keys matched successfully>
patient101 mean DICE: 0.8153547045756723 | running DICE: 0.8153547045756723 | Percentage: 0.0 | running Per: 0.0 
patient101 inverse mean DICE: 0.8328041458342232 | running DICE: 0.8328041458342232 | Percentage: 0.0 | running Per: 0.0 
patient102 mean DICE: 0.7524976701896541 | running DICE: 0.7839261873826632 | Percentage: 0.0 | running Per: 0.0 
patient102 inverse mean DICE: 0.8091993957104965 | running DICE: 0.8210017707723598 | Percentage: 0.0 | running Per: 0.0 
patient103 mean DICE: 0.8515464624654633 | running DICE: 0.8064662790769299 | Percentage: 0.0 | running Per: 0.0 
patient103 inverse mean DICE: 0.86584501520774 | running DICE: 0.8359495189174866 | Percentage: 0.0 | running Per: 0.0 
patient104 mean DICE: 0.5501833464562331 | running DICE: 0.7423955459217557 | Percentage: 0.0001119533527696793 | running Per: 2.7988338192419826e-05 
patient104 inverse mean DICE: 0.578532388825295 | running DICE: 0.7715952363944387 | Percentage: 0.0001119533527696793 | running Per: 2.7988338192419826e-05 
patient105 mean DICE: 0.690893664108236 | running DICE: 0.7320951695590517 | Percentage: 0.0020151603498542274 | running Per: 0.00042542274052478137 
patient105 inverse mean DICE: 0.7593178051622888 | running DICE: 0.7691397501480087 | Percentage: 0.0020151603498542274 | running Per: 0.00042542274052478137 
patient106 mean DICE: 0.9239044918552581 | running DICE: 0.7640633899417528 | Percentage: 0.0 | running Per: 0.00035451895043731783 
patient106 inverse mean DICE: 0.9259756286102215 | running DICE: 0.7952790632250442 | Percentage: 0.0 | running Per: 0.00035451895043731783 
patient107 mean DICE: 0.7353533144121883 | running DICE: 0.7599619505803865 | Percentage: 0.0 | running Per: 0.00030387338608912955 
patient107 inverse mean DICE: 0.7902155985553834 | running DICE: 0.7945557111293784 | Percentage: 0.0 | running Per: 0.00030387338608912955 
patient108 mean DICE: 0.5739697286031497 | running DICE: 0.7367129228332319 | Percentage: 0.0006903790087463556 | running Per: 0.0003521865889212828 
patient108 inverse mean DICE: 0.6750934243868048 | running DICE: 0.7796229252865566 | Percentage: 0.0006903790087463556 | running Per: 0.0003521865889212828 
patient109 mean DICE: 0.7741406645229665 | running DICE: 0.7408715607987579 | Percentage: 0.0001119533527696793 | running Per: 0.0003254940071266602 
patient109 inverse mean DICE: 0.8050662218581947 | running DICE: 0.7824499582389609 | Percentage: 0.0001119533527696793 | running Per: 0.0003254940071266602 
patient110 mean DICE: 0.7737050585423754 | running DICE: 0.7441549105731197 | Percentage: 0.0 | running Per: 0.0002929446064139942 
patient110 inverse mean DICE: 0.8078014282081784 | running DICE: 0.7849851052358827 | Percentage: 0.0 | running Per: 0.0002929446064139942 
patient111 mean DICE: 0.7440505086278266 | running DICE: 0.744145419487184 | Percentage: 0.000485131195335277 | running Per: 0.0003104161144977472 
patient111 inverse mean DICE: 0.8054233585952278 | running DICE: 0.7868431282685505 | Percentage: 0.000485131195335277 | running Per: 0.0003104161144977472 
patient112 mean DICE: 0.7523227433945906 | running DICE: 0.7448268631461344 | Percentage: 9.329446064139942e-05 | running Per: 0.00029232264334305155 
patient112 inverse mean DICE: 0.7836059232897151 | running DICE: 0.7865733611869808 | Percentage: 9.329446064139942e-05 | running Per: 0.00029232264334305155 
patient113 mean DICE: 0.8647265784677735 | running DICE: 0.754049918170876 | Percentage: 0.0 | running Per: 0.00026983628616281683 
